"auto_id","log_identifer","log_date","log_details"
"32849","2305021","2023-05-02 15:21:20","REWARD 길잡이 임무 보상 GET 500 / REMAIN 120501"
"32850","2305021","2023-05-02 15:21:25","REWARD 업적 보상 GET 500 / REMAIN 121001"
"32851","2305021","2023-05-02 15:21:47","SKILL GOTCHA USE 9000 / REMAIN 112001"
"32852","2305021","2023-05-02 15:21:53","WEAPON GOTCHA USE 10000 / REMAIN 102001"
"32853","2305021","2023-05-02 15:22:17","REWARD 업적 보상 GET 3500 / REMAIN 105501"
"32854","2305021","2023-05-02 15:22:17","REWARD 임무 보상 수령 GET 500 / REMAIN 106001"
"32855","2305021","2023-05-02 15:22:18","REWARD 길잡이 임무 보상 GET 500 / REMAIN 106501"
"32856","2305021","2023-05-02 15:23:06","REWARD 길잡이 임무 보상 GET 500 / REMAIN 107001"
"32857","2305021","2023-05-02 15:23:09","CLOTH GOTCHA USE 20000 / REMAIN 87001"
"32858","2305021","2023-05-02 15:23:13","REWARD 업적 보상 GET 500 / REMAIN 87501"
"32859","2305021","2023-05-02 15:23:14","REWARD 업적 보상 GET 500 / REMAIN 88001"
"32860","2305021","2023-05-02 15:23:21","REWARD 업적 보상 GET 500 / REMAIN 88501"
"32861","2305021","2023-05-02 15:23:21","REWARD 길잡이 임무 보상 GET 500 / REMAIN 89001"
"32862","2305021","2023-05-02 15:23:37","REWARD 임무 보상 수령 GET 1000 / REMAIN 90001"
"32863","2305021","2023-05-02 15:23:38","REWARD 길잡이 임무 보상 GET 500 / REMAIN 90501"
"32864","2305021","2023-05-02 15:24:13","REWARD 길잡이 임무 보상 GET 500 / REMAIN 91001"
"32865","2305021","2023-05-02 15:24:18","REWARD 업적 보상 GET 500 / REMAIN 91501"
"32866","2305021","2023-05-02 15:24:34","REWARD 길잡이 임무 보상 GET 500 / REMAIN 92001"
"32867","2305021","2023-05-02 15:25:38","REWARD 업적 보상 GET 500 / REMAIN 92501"
"32868","2305021","2023-05-02 15:25:38","REWARD 길잡이 임무 보상 GET 500 / REMAIN 93001"
"32869","2305021","2023-05-02 15:25:51","REWARD 업적 보상 GET 500 / REMAIN 93501"
"32870","2305021","2023-05-02 15:26:00","REWARD 길잡이 임무 보상 GET 500 / REMAIN 94001"
"32871","2305021","2023-05-02 15:26:09","REWARD 업적 보상 GET 500 / REMAIN 94501"
"32872","2305021","2023-05-02 15:26:10","REWARD 길잡이 임무 보상 GET 500 / REMAIN 95001"
"32873","2305021","2023-05-02 15:26:26","REWARD 업적 보상 GET 500 / REMAIN 95501"
"32874","2305021","2023-05-02 15:26:27","REWARD 길잡이 임무 보상 GET 500 / REMAIN 96001"
"32875","2305021","2023-05-02 15:26:55","REWARD 업적 보상 GET 500 / REMAIN 96501"
"32876","2305021","2023-05-02 15:26:57","REWARD 길잡이 임무 보상 GET 500 / REMAIN 97001"
"32877","펩시","2023-05-02 17:00:23","REWARD 업적 보상 GET 8500 / REMAIN 357251"
"32878","펩시","2023-05-02 17:00:23","REWARD 업적 보상 GET 500 / REMAIN 357751"
"32879","펩시","2023-05-02 17:06:21","REWARD 업적 보상 GET 500 / REMAIN 358251"
"32880","바멍","2023-05-02 17:44:23","REWARD 업적 보상 GET 175500 / REMAIN 29810821"
"32881","바멍","2023-05-02 17:45:44","JANGSU GOTCHA USE 15000 / REMAIN 29795821"
"32882","바멍","2023-05-02 17:45:47","JANGSU GOTCHA USE 15000 / REMAIN 29780821"
"32883","바멍","2023-05-02 17:45:48","JANGSU GOTCHA USE 15000 / REMAIN 29765821"
"32884","바멍","2023-05-02 17:45:50","JANGSU GOTCHA USE 15000 / REMAIN 29750821"
"32885","바멍","2023-05-02 17:45:51","JANGSU GOTCHA USE 15000 / REMAIN 29735821"
"32886","바멍","2023-05-02 17:45:52","JANGSU GOTCHA USE 15000 / REMAIN 29720821"
"32887","바멍","2023-05-02 17:45:54","JANGSU GOTCHA USE 15000 / REMAIN 29705821"
"32888","바멍","2023-05-02 17:45:55","JANGSU GOTCHA USE 15000 / REMAIN 29690821"
"32889","바멍","2023-05-02 17:45:56","JANGSU GOTCHA USE 15000 / REMAIN 29675821"
"32890","바멍","2023-05-02 17:45:57","JANGSU GOTCHA USE 15000 / REMAIN 29660821"
"32891","바멍","2023-05-02 17:45:59","JANGSU GOTCHA USE 15000 / REMAIN 29645821"
"32892","바멍","2023-05-02 17:46:00","JANGSU GOTCHA USE 15000 / REMAIN 29630821"
"32893","바멍","2023-05-02 17:46:01","JANGSU GOTCHA USE 15000 / REMAIN 29615821"
"32894","바멍","2023-05-02 17:46:03","JANGSU GOTCHA USE 15000 / REMAIN 29600821"
"32895","바멍","2023-05-02 17:46:04","JANGSU GOTCHA USE 15000 / REMAIN 29585821"
"32896","바멍","2023-05-02 17:46:05","JANGSU GOTCHA USE 15000 / REMAIN 29570821"
"32897","바멍","2023-05-02 17:46:06","JANGSU GOTCHA USE 15000 / REMAIN 29555821"
"32898","바멍","2023-05-02 17:46:08","JANGSU GOTCHA USE 15000 / REMAIN 29540821"
"32899","바멍","2023-05-02 17:46:09","JANGSU GOTCHA USE 15000 / REMAIN 29525821"
"32900","바멍","2023-05-02 17:46:10","JANGSU GOTCHA USE 15000 / REMAIN 29510821"
"32901","바멍","2023-05-02 17:46:12","JANGSU GOTCHA USE 15000 / REMAIN 29495821"
