,Date,Time,Jangsu,Special
0,2023-05-15,19:09:55,여포,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0']]"
1,2023-05-16,15:15:04,관우,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,1.13', '0,0,0', '0,0,0', '0,0,0', '0,0,0']]"
2,2023-05-16,15:15:18,관우,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,2.65', '0,0,0', '0,0,0', '0,0,0', '0,0,0']]"
3,2023-05-16,15:16:57,조조,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,4.09', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,2.65', '0,0,0', '0,0,0', '0,0,0', '0,0,0']]"
4,2023-05-17,14:38:37,관우,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,4.09', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,2.65', '1,0,1.7', '0,0,0', '0,0,0', '0,0,0']]"
5,2023-05-17,14:38:56,관우,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,4.09', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,3.72', '1,0,1.7', '0,0,0', '0,0,0', '0,0,0']]"
6,2023-05-19,14:15:22,관우,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,4.09', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,5.13', '1,0,1.7', '0,0,0', '0,0,0', '0,0,0']]"
7,2023-05-19,15:58:13,관우,"[['0,0,1.28', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,4.09', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,0', '0,0,0', '0,0,0', '0,0,0', '0,0,0'], ['0,0,5.13', '1,0,1.72', '0,0,0', '0,0,0', '0,0,0']]"
