,Date,Time,Jangsu,Special
0,2023-05-17,19:11:44,여포,"[['7,0,23.69', '1,0,2.55', '0,0,15.96', '0,0,0', '0,0,0'], ['0,0,25.58', '1,0,6.1', '2,0,0.81', '4,0,5.73', '7,0,22.86'], ['0,0,21.7', '1,0,6.1', '2,0,2.6', '4,0,12.5', '7,0,36.1'], ['0,0,17.91', '1,0,3.21', '7,0,14.81', '4,0,14.34', '7,0,21.45']]"
1,2023-05-17,19:12:07,하후돈,"[['7,0,23.6', '1,0,2.97', '7,0,14.1', '0,0,0'], ['0,0,0', '4,752,0', '0,0,12.54', '7,0,1.5'], ['0,0,6.33', '1,0,5.06', '0,0,0', '7,0,7.45'], ['0,0,8.02', '1,0,6.27', '0,0,0', '7,0,7.74']]"
2,2023-05-17,19:13:40,공손찬,"[['7,0,23.6', '1,0,2.97', '7,0,14.1', '0,0,0'], ['4,0,8.67', '7,0,7.45', '0,0,12.54', '1,0,0.7'], ['0,0,6.33', '1,0,5.06', '0,0,0', '7,0,7.45'], ['0,0,8.02', '1,0,6.27', '0,0,0', '7,0,7.74']]"
3,2023-05-17,19:22:15,곽사,"[['0,0,0', '0,0,0'], ['0,0,3.97', '1,0,0.66'], ['0,0,0', '0,0,0'], ['0,0,0', '0,0,0'], ['0,0,0', '0,0,0'], ['0,0,0', '0,0,0'], ['0,0,0', '0,0,0'], ['0,0,0', '0,0,0'], ['0,0,0', '0,0,0']]"
